00001 010102   900103   300104   200105   150106   350107    80108    60109   11
00001 020110   500111   200112   500113   300114   200203   800204   100205   30
00001 030206   500207   700208   400209   600210   400211   800212   100213   60
00001 040214   600304   700305   500306   500307   200308    50309   400310   50
00001 050311   200312   800313   500314   200405   300406   500407   700408   30
00001 060409   500410   300411   500412   500413   600414   400506   500507   40
00001 070508   400509   400510   200511   700512   100513   300514   400607   60
00001 080608   500609   700610   500611   200612   700613    50614   300708   30
00001 090709   500710   500711   500712   500713   700714   400809   500810   50
00001 100811   400812   500813   700814   100910   500911   500912   600913   60
00001 110914   201011   501012   401013   701014   401112   801113   501114    5
00001 121213   501214   501314   30
00001 131 521
